property_type,society,sector,price,price_per_sq_ft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,sobha city,sector 108,3.95,16858.0,3.0,5.0,2,15.0,New Property,2343.101198244157,0.0,1.0,0.0,0.0,0.0,1.0,118.0,"28.5134° N, 76.9830° E",28.5134,76.983
house,unitech uniworld resorts,sector 33,11.5,24573.0,5.0,6.0,3+,4.0,Relatively New,4680.0,0.0,1.0,0.0,0.0,0.0,1.0,84.0,"28.4420° N, 77.0207° E",28.442,77.0207
house,independent,sector 13,4.5,9091.0,4.0,5.0,2,2.0,Old Property,4950.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"28.4757° N, 77.0392° E",28.4757,77.0392
flat,paras dews,sector 106,1.35,8940.0,4.0,3.0,3,19.0,Old Property,1678.0,0.0,1.0,0.0,0.0,0.0,1.0,112.0,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,corona optus,sector 37c,1.22,6912.0,3.0,4.0,3,5.0,Relatively New,1665.0,0.0,0.0,0.0,0.0,0.0,1.0,149.0,"28.4515° N, 76.9882° E",28.4515,76.9882
flat,signature global solera 2,sector 107,0.5,8928.0,2.0,2.0,2,13.0,New Property,622.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,chintamani,sector 103,1.57,8509.0,3.0,3.0,3,1.0,Relatively New,1845.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"28.4949° N, 76.9845° E",28.4949,76.9845
house,eldeco mansionz,sector 48,5.0,21368.0,7.0,7.0,3,2.0,Moderately Old,2340.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,parsvnath exotica,sector 53,4.8,16580.0,3.0,4.0,3+,8.0,Relatively New,2500.0,0.0,1.0,0.0,1.0,1.0,2.0,174.0,"28.4433° N, 77.0948° E",28.4433,77.0948
flat,hsiidc sidco aravali,manesar,0.91,3516.0,3.0,3.0,3+,8.0,Moderately Old,1900.0,0.0,1.0,0.0,0.0,0.0,1.0,23.0,"28.3515° N, 76.9428° E",28.3515,76.9428
house,bhim garh kheri,sector 3,1.5,7576.0,7.0,2.0,0,1.0,Old Property,1980.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,emaar mgf emerald floors premier,sector 65,2.0,12121.0,3.0,3.0,3,1.0,Relatively New,1833.0,0.0,1.0,0.0,0.0,0.0,2.0,124.0,"28.4030° N, 77.0690° E",28.403,77.069
flat,central park flower valley,sector 33,1.35,10384.0,3.0,2.0,2,3.0,New Property,1444.0,0.0,0.0,0.0,0.0,0.0,1.0,87.0,"28.4420° N, 77.0207° E",28.442,77.0207
flat,sbr minda sec 1 imt manesar,manesar,0.65,4259.0,3.0,2.0,3+,6.0,Moderately Old,1696.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,"28.3515° N, 76.9428° E",28.3515,76.9428
flat,bestech park view ananda,sector 81,1.35,7541.0,3.0,3.0,3+,10.0,Moderately Old,1438.0,0.0,0.0,1.0,0.0,0.0,2.0,72.0,"28.3867° N, 76.9485° E",28.3867,76.9485
house,independent,sector 51,2.25,2778.0,6.0,3.0,3+,3.0,Relatively New,900.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,"28.4320° N, 77.0686° E",28.432,77.0686
flat,antriksh heights,sector 84,0.85,5556.0,2.0,2.0,3,10.0,New Property,1222.0,1.0,0.0,0.0,0.0,1.0,1.0,24.0,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,shapoorji pallonji joyville gurugram,sector 102,1.2,14563.0,2.0,2.0,3,0.0,Relatively New,1073.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,signature global orchard avenue,sector 93,0.36,6715.0,2.0,2.0,2,6.0,Relatively New,604.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,"28.4153° N, 76.9326° E",28.4153,76.9326
flat,ats tourmaline,sector 109,1.5,8571.0,3.0,3.0,3+,7.0,Relatively New,1466.0,0.0,0.0,0.0,0.0,0.0,1.0,165.0,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,tata primanti,sector 72,3.4,15560.0,3.0,4.0,3+,9.0,Moderately Old,2185.089974293059,0.0,1.0,0.0,0.0,0.0,1.0,38.0,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,tulip monsella,sector 53,6.02,20816.0,3.0,3.0,3,29.0,Under Construction,2892.0,0.0,0.0,0.0,0.0,0.0,1.0,68.0,"28.4433° N, 77.0948° E",28.4433,77.0948
flat,dlf carlton estate,sector 43,2.1,15418.0,3.0,3.0,1,2.0,Old Property,1233.0,0.0,0.0,1.0,0.0,0.0,2.0,88.0,"28.4629° N, 77.0772° E",28.4629,77.0772
house,independent,sector 7,3.85,14650.0,4.0,4.0,3,3.0,Old Property,2628.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,"28.4644° N, 77.0143° E",28.4644,77.0143
